0.62,0.4762596,1.380716,0.06116426,0.08665197,-4.028966,-5.41096,0.09602892,0.0247224,-0.1317948,0.5192479,76.27532,36.03108,0.03,0.3,0.55,-0.06,0.06582133,0.303261,-9,-6,-5,12,-1,-7,6,-6
0.64,0.4774069,1.38243,-0.01941506,-0.02156723,-3.901959,-5.378724,0.08209206,0.05762977,-0.6968431,1.645368,-28.25242,56.30603,-0.29,-0.01,-0.67,0.31,-0.2681216,0.02862459,-4,1,1,6,-9,25,2,-1
0.66,0.476778,1.381898,-0.09745425,-0.1291417,4.909112,3.200333,0.03732927,0.0775299,-2.23814,0.9950066,-77.06483,-32.51809,-0.01,-0.06,-2.93,2.81,-0.02295255,-0.04944159,7,2,5,13,-10,68,-2,0
0.68,0.4746836,1.378989,0.0007279875,-0.06513504,5.152486,3.747779,0.02261052,0.06391557,-0.7359375,-0.6807163,75.11011,-83.78615,0.64,-0.18,-0.67,0.85,0.6215023,-0.1268955,-10,2,-1,-10,8,-8,-27,0
0.7,0.4747973,1.377579,0.1037777,0.009820532,-3.422631,3.927788,0.0793687,0.03231858,2.837909,-1.579849,178.6924,-44.95666,0.24,0.04,-1.1,0.85,0.2576551,0.01910917,-14,5,-3,-19,6,25,-6,-3
0.72,0.4771028,1.378187,0.03532508,0.08837628,-3.809059,-5.174974,0.1360779,0.0154058,2.83546,-0.8456394,-0.1224518,36.7105,-0.26,0.2,-1.65,1.46,-0.1951514,0.188189,7,-4,4,-16,-6,-34,-15,3
0.74,0.4779328,1.380366,-0.04085609,-0.01512319,-4.0159,-5.868511,0.08554385,0.05063893,-2.526703,1.761657,-268.1082,130.3648,-1.06,0.64,0.24,-0.37,-1.023046,0.6101929,-1,-2,-5,5,-10,48,-10,-1
0.76,0.4768574,1.379696,-0.1211741,-0.1324934,4.823616,3.158118,-0.05098,0.1432112,-6.826193,4.628613,-214.9745,143.3478,0.22,0.41,0.79,-0.61,0.1627344,0.4250505,12,1,-4,4,7,5,6,9
0.78,0.473757,1.376049,-0.02470178,-0.06933105,5.955749,4.827969,-0.1122282,0.2265768,-3.062412,4.168283,188.189,-23.01653,0.65,-0.08,-0.24,0.12,0.621462,-0.06724539,1,1,-1,-10,-22,1,32,2
0.8,0.4726582,1.374215,0.09441318,0.02722832,6.975277,5.576652,-0.03692919,0.2228622,3.764953,-0.1857311,341.3683,-217.7007,0.38,-0.37,-0.61,0.61,0.4306563,-0.3535371,5,-7,-4,11,12,-95,4,-3
0.82,0.4745734,1.375306,0.2339187,0.1387614,-1.478709,-3.752707,0.0754537,0.1286313,5.619144,-4.711547,92.70958,-226.2908,-0.01,-0.31,-1.04,0.24,0.002869486,-0.3372757,-3,3,4,-15,-14,-17,-5,-2
0.84,0.4799347,1.378894,0.2043446,0.06370721,-2.63116,-5.127094,0.1418107,0.004193926,3.317852,-6.221867,-115.0646,-75.51598,0.14,-0.14,0.79,-0.98,0.1057256,-0.1502185,2,1,5,22,-6,52,-14,0
